number,latitude,longitude
114,51.513416666666664,-6.960166666666667
115,51.374944444444445,-5.244194444444444
116,51.22966666666667,-3.7344166666666667
117,51.06336111111111,-2.2349722222222224
118,50.873083333333334,-0.7231388888888889
119,50.68172222222222,0.6400833333333333
120,50.45091666666667,2.128277777777778
121,50.20086111111112,3.593666666666667
122,49.89877777777778,5.206972222222222
123,49.609861111111115,6.62313888888889
124,49.30188888888889,8.022916666666667
125,48.93583333333333,9.566083333333333
126,48.58680555555556,10.93625
127,48.22211111111111,12.279166666666667
128,47.79022222222222,13.770222222222223
129,47.38933333333333,15.071444444444444
130,46.972861111111115,16.35038888888889
131,46.57844444444445,17.50138888888889
132,46.11980555555556,18.77472222222222
133,45.65925,19.990722222222225
134,45.11372222222222,21.35927777777778
135,44.62272222222222,22.531527777777775
136,44.05661111111111,23.82086111111111
137,43.53936111111111,24.946416666666668
138,42.94697222222222,26.179944444444445
139,42.40566666666667,27.260055555555557
140,41.85586111111111,28.315305555555558
141,41.223888888888894,29.480638888888887
142,40.62591666666667,30.54030555555556
143,40.01830555555556,31.57788888888889
144,39.35136111111111,32.67508333333333
145,38.72727777777778,33.665194444444445
146,38.08525,34.64988888888889
147,37.46072222222222,35.577000000000005
148,36.88613888888889,36.405138888888885
149,36.24197222222222,37.30705555555555
150,35.59758333333333,38.18308333333333
151,34.869055555555555,39.14405555555555
152,34.20836111111112,39.99038888888889
153,33.53772222222222,40.8265
154,32.78711111111111,41.736694444444446
155,32.09769444444445,42.55036111111111
156,31.31786111111111,43.446666666666665
157,30.53125,44.32647222222223
158,29.878444444444444,45.03930555555555
159,29.073527777777777,45.89791666666667
160,28.281277777777778,46.72247222222222
161,27.577555555555556,47.43886111111111
162,26.921555555555557,48.093805555555555
163,26.196916666666667,48.803638888888884
164,25.386944444444445,49.581138888888894
165,24.647333333333332,50.27722222222222
166,23.97111111111111,50.90269444444444
167,23.123,51.673249999999996
168,22.34536111111111,52.36697222222222
169,21.560111111111112,53.05577777777778
170,20.81925,53.69544444444444
171,20.026888888888887,54.36933333333334
172,19.258111111111113,55.01358333333334
173,18.632416666666668,55.53136111111111
174,17.83936111111111,56.17961111111111
175,17.034111111111113,56.82922222222223
176,16.33138888888889,57.38944444444444
177,15.571527777777778,57.98863888888889
178,14.659722222222223,58.699194444444444
179,13.938472222222222,59.25516666666667
180,13.168388888888888,59.843250000000005
181,12.440888888888889,60.39391666666667
182,11.73311111111111,60.92538888888889
183,10.965944444444444,61.497
184,10.261333333333333,62.018277777777776
185,9.518500000000001,62.56422222222222
186,8.78163888888889,63.102444444444444
187,8.039861111111112,63.64113888888889
188,7.387944444444445,64.11222222222221
189,6.66875,64.62963888888888
190,5.9303333333333335,65.15861111111111
191,5.1367777777777786,65.72486111111111
192,4.260722222222222,66.34766666666667
193,3.5522777777777774,66.84980555555555
194,2.783138888888889,67.39369444444445
195,2.1349444444444443,67.85130555555556
196,1.4849444444444444,68.30961111111111
197,0.7054166666666666,68.85875
198,-0.18594444444444444,69.48636111111111
199,-0.8361111111111111,69.94419444444445
200,-1.7384444444444445,70.58
201,-2.3838333333333335,71.03522222222222
202,-3.2773333333333334,71.66652777777779
203,-3.9251111111111108,72.12519444444443
204,-4.80925,72.75288888888889
205,-5.615944444444444,73.32763888888888
206,-6.514833333333334,73.97077777777778
207,-7.318666666666666,74.54869444444444
208,-8.198083333333333,75.18436111111112
209,-8.929166666666665,75.71586111111111
210,-9.676333333333332,76.26227777777778
211,-10.460777777777777,76.83969444444443
212,-11.20422222222222,77.39080555555556
213,-11.916500000000001,77.92266666666667
214,-12.685555555555556,78.50147222222222
215,-13.415416666666667,79.05547222222222
216,-14.272027777777778,79.71194444444444
217,-15.029861111111112,80.29880555555556
218,-15.747222222222222,80.85991666666666
219,-16.461305555555555,81.42422222222223
220,-17.225305555555554,82.03477777777778
221,-17.956444444444443,82.62602777777776
222,-18.706416666666666,83.24002777777778
223,-19.536694444444446,83.92922222222222
224,-20.27461111111111,84.55061111111111
225,-20.972777777777775,85.14666666666668
226,-21.714194444444445,85.78880555555556
227,-22.519694444444443,86.49775
228,-23.312194444444444,87.20752777777778
229,-24.036416666666668,87.86741666666666
230,-24.848138888888887,88.6206111111111
231,-25.571833333333334,89.30497222222222
232,-26.508194444444445,90.20958333333334
233,-27.318194444444444,91.01069444444444
234,-28.050194444444447,91.75055555555555
235,-28.77133333333333,92.49505555555555
236,-29.44875,93.2093888888889
237,-30.18422222222222,94.00241666666666
