E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_093.jpg,"49 deg 5' 11.80"" N","38 deg 26' 59.20"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_094.jpg,"49 deg 24' 6.20"" N","37 deg 5' 7.10"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_095.jpg,"49 deg 43' 34.20"" N","35 deg 34' 16.50"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_096.jpg,"50 deg 2' 43.10"" N","33 deg 56' 53.90"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_097.jpg,"50 deg 20' 2.90"" N","32 deg 20' 3.80"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_098.jpg,"50 deg 34' 21.30"" N","30 deg 52' 2.70"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_099.jpg,"50 deg 48' 46.20"" N","29 deg 13' 33.70"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_100.jpg,"51 deg 0' 26.00"" N","27 deg 44' 8.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_101.jpg,"51 deg 10' 48.50"" N","26 deg 14' 19.10"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_102.jpg,"51 deg 20' 55.00"" N","24 deg 33' 8.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_103.jpg,"51 deg 28' 38.80"" N","23 deg 1' 32.80"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_104.jpg,"51 deg 35' 7.60"" N","21 deg 28' 38.80"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_105.jpg,"51 deg 40' 44.30"" N","19 deg 45' 23.90"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_106.jpg,"51 deg 44' 22.30"" N","18 deg 12' 28.50"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_107.jpg,"51 deg 46' 40.60"" N","16 deg 39' 17.00"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_108.jpg,"51 deg 47' 40.10"" N","14 deg 55' 32.00"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_109.jpg,"51 deg 47' 9.20"" N","13 deg 22' 34.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_110.jpg,"51 deg 45' 16.90"" N","11 deg 48' 38.50"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_111.jpg,"51 deg 41' 37.40"" N","10 deg 4' 38.70"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_112.jpg,"51 deg 36' 52.90"" N","8 deg 30' 50.40"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_113.jpg,"51 deg 30' 48.30"" N","6 deg 57' 36.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_114.jpg,"51 deg 22' 29.80"" N","5 deg 14' 39.10"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_115.jpg,"51 deg 13' 46.80"" N","3 deg 44' 3.90"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_116.jpg,"51 deg 3' 48.10"" N","2 deg 14' 5.90"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_117.jpg,"50 deg 52' 23.10"" N","0 deg 43' 23.30"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_118.jpg,"50 deg 40' 54.20"" N","0 deg 38' 24.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_119.jpg,"50 deg 27' 3.30"" N","2 deg 7' 41.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_120.jpg,"50 deg 12' 3.10"" N","3 deg 35' 37.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_121.jpg,"49 deg 53' 55.60"" N","5 deg 12' 25.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_122.jpg,"49 deg 36' 35.50"" N","6 deg 37' 23.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_123.jpg,"49 deg 18' 6.80"" N","8 deg 1' 22.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_124.jpg,"48 deg 56' 9.00"" N","9 deg 33' 57.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_125.jpg,"48 deg 35' 12.50"" N","10 deg 56' 10.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_126.jpg,"48 deg 13' 19.60"" N","12 deg 16' 45.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_127.jpg,"47 deg 47' 24.80"" N","13 deg 46' 12.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_128.jpg,"47 deg 23' 21.60"" N","15 deg 4' 17.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_129.jpg,"46 deg 58' 22.30"" N","16 deg 21' 1.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_130.jpg,"46 deg 34' 42.40"" N","17 deg 30' 5.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_131.jpg,"46 deg 7' 11.30"" N","18 deg 46' 29.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_132.jpg,"45 deg 39' 33.30"" N","19 deg 59' 26.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_133.jpg,"45 deg 6' 49.40"" N","21 deg 21' 33.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_134.jpg,"44 deg 37' 21.80"" N","22 deg 31' 53.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_135.jpg,"44 deg 3' 23.80"" N","23 deg 49' 15.10"" E"
