ai_output_corrected_img_0_3.jpg.csv,1563.67,15.25,15,15,1
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1179.16,11.5,14,6,11
ai_output_corrected_img_0_3.jpg.csv,1076.62,10.5,10,10,2
ai_output_corrected_img_0_3.jpg.csv,1153.53,11.25,13,5,9
ai_output_corrected_img_0_3.jpg.csv,1025.36,10.0,8,12,4
ai_output_corrected_img_0_3.jpg.csv,974.09,9.5,13,6,7
ai_output_corrected_img_0_3.jpg.csv,1127.89,11.0,12,10,2
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1281.7,12.5,14,11,3
ai_output_corrected_img_0_3.jpg.csv,1076.62,10.5,13,8,5
ai_output_corrected_img_0_3.jpg.csv,1435.5,14.0,15,13,2
ai_output_corrected_img_0_3.jpg.csv,1281.7,12.5,12,13,1
ai_output_corrected_img_0_3.jpg.csv,1384.23,13.5,14,13,1
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1025.36,10.0,11,9,2
ai_output_corrected_img_0_3.jpg.csv,1845.64,18.0,20,16,4
ai_output_corrected_img_0_3.jpg.csv,1435.5,14.0,16,15,6
ai_output_corrected_img_0_3.jpg.csv,153.8,1.5,2,1,1
ai_output_corrected_img_0_3.jpg.csv,1845.64,18.0,24,12,12
ai_output_corrected_img_0_3.jpg.csv,1409.87,13.75,20,8,13
ai_output_corrected_img_0_3.jpg.csv,1127.89,11.0,11,11,0
ai_output_corrected_img_0_3.jpg.csv,1179.16,11.5,10,13,3
ai_output_corrected_img_0_4.jpg.csv,1281.7,12.5,17,8,9
ai_output_corrected_img_0_4.jpg.csv,1538.03,15.0,19,7,12
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1179.16,11.5,15,8,7
ai_output_corrected_img_0_4.jpg.csv,1563.67,15.25,23,8,15
ai_output_corrected_img_0_4.jpg.csv,1435.5,14.0,17,9,8
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1743.11,17.0,18,16,2
ai_output_corrected_img_0_4.jpg.csv,1179.16,11.5,14,9,5
ai_output_corrected_img_0_4.jpg.csv,1050.99,10.25,13,8,6
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1486.77,14.5,26,1,25
ai_output_corrected_img_0_4.jpg.csv,948.45,9.25,15,4,11
ai_output_corrected_img_0_4.jpg.csv,794.65,7.75,11,4,8
ai_output_corrected_img_0_4.jpg.csv,1256.06,12.25,20,9,12
ai_output_corrected_img_0_4.jpg.csv,1409.87,13.75,25,4,24
ai_output_corrected_img_0_4.jpg.csv,1204.79,11.75,10,14,4
ai_output_corrected_img_0_4.jpg.csv,1153.53,11.25,14,8,7
ai_output_corrected_img_0_4.jpg.csv,1127.89,11.0,14,8,6
ai_output_corrected_img_0_4.jpg.csv,1230.43,12.0,14,9,5
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1358.6,13.25,16,9,9
