chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
img_23_2, ,17,True,192,749,190,689,60.03332407921454,7612.225493244403,31.93750237930078,4374.412340545701
img_23_2, ,18,True,722,209,717,157,52.23983154643591,6624.010640088073,31.93750237930078,3806.5285787477883
img_23_2, ,19,True,311,788,312,741,47.01063709417264,5960.94878354109,31.93750237930078,3425.495992364428
img_23_2, ,20,True,824,677,827,620,57.07889277132134,7237.603603403546,31.93750237930078,4159.1335604553415
img_23_2, ,21,True,914,188,913,131,57.0087712549569,7228.712195128534,31.93750237930078,4154.024057837801
img_23_2, ,22,True,862,663,861,608,55.00909015790027,6975.152632021754,31.93750237930078,4008.314490655111
img_23_2, ,23,True,309,519,309,461,58.0,7354.4,31.93750237930078,4226.251330292324
img_23_2, ,24,False
img_23_2, ,25,False
img_23_2, ,25,True,91,166,90,119,47.01063709417264,5960.94878354109,31.93750237930078,3425.495992364428
img_23_2, ,26,False
img_23_2, ,27,False
img_23_2, ,28,False
img_23_2, ,29,False
img_23_2, ,30,True,253,102,256,29,73.06161783043132,9264.213140898692,31.93750237930078,5323.737233606376
img_23_2, ,31,True,642,946,642,903,43.0,5452.4,31.93750237930078,3133.255296596034
img_23_2, ,32,True,473,486,468,426,60.207972893961475,7634.370962954315,31.93750237930078,4387.138371332912
img_23_2, ,33,False
img_23_2, ,34,True,86,501,86,448,53.0,6720.4,31.93750237930078,3861.9193190602277
img_23_2, ,35,False
img_23_2, ,36,False
img_23_2, ,37,False
img_23_3, ,20,True,22,73,19,21,52.08646657242167,6604.563961383068,31.93750237930078,3795.3534248607552
img_23_3, ,50,False
img_23_3, ,0,True,384,168,385,125,43.01162633521314,5453.874219305026,31.93750237930078,3134.102465814326
img_23_3, ,5,False
img_23_3, ,7,False
img_23_3, ,26,True,332,548,329,496,52.08646657242167,6604.563961383068,31.93750237930078,3795.3534248607552
